slug,readable,sellable,notes
"0a5ed771","yes","yes",""
"00ba8b6f","yes","yes",""
"0be37a57","yes","yes",""
"0de34b92","yes","yes",""
"0f1b0a83","yes","yes",""
"0f41abe9","struggle","no","letters are too close to each other"
"1bba59ee","yes","no","m looks like double n, extra stone under a and u"
"1e535f88","yes","yes",""
"2c9e1989","yes","no","ugly"
"02df73be","yes","no","letters are too close, ""a"" difficult to read"
"2e46f0ec","yes","no","""al"" is inaccurate"
"3b515fe4","yes","yes",""
"3d5f882b","yes","no","""V"" and ""a"" are inaccurate"
"4bf942d9","yes","no","an extra letter ufter ""u"" when on two lines "
"4cd10341","yes","no","""V"" and ""a"" are inaccurate"
"5d1e782c","yes","no","""V""  and extra stones below some letters make this inaccurate"
"5e7de027","yes","no","not equal spacing between letters"
"5e47e7ce","yes","yes",""
"5f51a4fd","yes","no","""V"", ""n"" and ""a""  are inaccurate"
"6a429300","yes","yes",""
"06eba213","yes","no","""V""  and ""a"" are inaccurate"
"7a33b48d","yes","yes",""
"7add13f2","yes","no","""V"", ""t"" and ""a"" are inaccurate"
"7eb7ec09","yes","no","Letters are too close"
"7f78feea","yes","no",""
"8c295b4d","yes","no","too many stones"
"8d4015b5","yes","no","too may stones, letters look inaccurate"
"8db8dd90","yes","yes",""
"8dcfde0d","yes","no","letters are too close, ""i"" croosed with ""t', ""a' with ""l"""
"9f90fa02","yes","yes",""
"9f549c40","struggle","no","letters are inaccurate and too close"
"17a847da","struggle","no","letters are too close"
"24cdda41","yes","yes",""
"31e5b9c4","yes","yes",""
"35b8f12e","struggle","no","letters are too close"
"35e3969b","yes","no","ugly"
"39aec55a","yes","no","some stones are inside the countour"
"48d3df58","yes","no","letters are too close"
"50e8df92","yes","no","too many stones"
"57aa7b85","struggle","no","ugly"
"58b512a4","yes","yes",""
"61aa8ce0","yes","no","inaccurate letters"
"77e9fd57","struggle","no","inaccurate letters"
"79ca5bee","yes","no","inaccuarte letters especially ""V"" and ""t"""
"79ff4873","yes","no","inaccurate letters"
"80c68c1a","yes","no","too many stones"
"80e59360","yes","no","inaccurate letters"
"93fd3639","yes","yes",""
"96d6226b","yes","no","inaccurate letters"
"116e9d94","yes","no","inaccurate letters"
"337c5ad2","yes","no","too little spacing between letters"
"364d5900","yes","yes",""
"371a8eff","yes","yes",""
"455e1a63","yes","no","too many stones"
"507afe42","yes","no","""a"" and ""e"" are inaccurate"
"554ddbcf","yes","yes",""
"763f1e76","yes","yes",""
"769b1376","yes","no","inaccurate  letters"
"769d42a0","yes","no","inaccurate letters"
"853dacf1","yes","no","too little spacing between letters"
"940f5096","yes","yes",""
"992d5779","struggle","no","inaccurate letters"
"1115fc7e","yes","no","too little spacing between letters"
"3060fd23","yes","yes",""
"6267a783","yes","no","ugly"
"10978f70","yes","yes",""
"32312be8","yes","yes",""
"32335de4","yes","yes",""
"37923dfc","struggle","no","ugly"
"48753f09","yes","yes",""
"51859dc6","struggle","no","letteres are extremely close"
"54739ae7","yes","no","inaccurate letters"
"74485b4f","yes","no","inaccurate letters"
"92664c66","yes","yes",""
"138934be","no","no",""
"254112fe","yes","no","ugly"
"464383f3","yes","yes",""
"0496093b","struggle","no","too close, inaccurate letters"
"654917db","yes","yes",""
"18394106","yes","no","too close"
"33634046","yes","yes",""
"84159548","yes","no","""V"" inaccurate
"
"a4ac092d","yes","no","inaccurate letters"
"a6ca1c88","yes","yes",""
"a9ecd021","yes","yes",""
"a16a9576","yes","no","too close, extra stones"
"a6500e59","yes","yes",""
"a37802b3","yes","yes",""
"aab80d22","struggle","no","no spacing between letters"
"abd835c1","struggle","no","ugly"
"b65d4450","struggle","no","too close, inaccurate letters"
"b006907c","no","no",""
"bbf96a4b","yes","no","too close, ""i"" intercent ""t"""
"bc3b700d","yes","no","inaccurate letters"
"bc15083f","yes","no","ugly"
"bfb72d63","yes","yes",""
"c0d60480","yes","no","inaccurate letters"
"c2c9a8f5","yes","yes",""
"c4e238bb","yes","yes",""
"c6a87987","yes","no","inaccurate"
"c19ff6d6","yes","no","too close"
"c22e42d9","yes","no","inaccurate"
"c546d486","struggle","no","inaccurate"
"c2755333","yes","yes",""
"c6918549","yes","yes",""
"ccf548bc","struggle","no",""
"ce02394e","yes","no","too  many strones"
"cf6f410f","yes","no","too amny stones"
"cf4195e9","yes","no","ugly"
"cf19604d","yes","yes",""
"d31b54c9","yes","no","too  many stones"
"d56df99e","yes","no","too close"
"d74d313e","no","no",""
"d214f2c3","yes","yes",""
"d853cf5f","yes","yes",""
"d2191eeb","yes","no","too close"
"d5699d40","yes","no","inaccurate"
"d5012372","yes","no","inaccurate"
"d5988136","yes","no","inaccurate"
"db9f7eae","yes","no","too close"
"db68ffa8","yes","yes",""
"dfee0f15","yes","no","too amny stones"
"e7d11066","yes","no","inaccurate"
"e8d843dd","yes","no","inaccurate"
"e66e0d3a","yes","no","too close"
"eb372649","yes","no","inaccurate"
"ec04ce73","yes","no","inaccurate"
"ec98f598","yes","yes",""
"f47a5bca","yes","no","too close, too many stones"
"fa7c6f88","yes","no","too many stones"
"faf277a9","yes","no","too amny stones"
"fd86597b","yes","no","inaccurate"
"fdba244e","yes","no","inaccurate"
"fe5fef01","yes","yes",""
"ff06b096","yes","yes",""
