slug,readable,sellable,notes
"0a984d44","yes","yes",""
"2d4d2789","yes","no","inaccurate"
"3a742b32","","","too close"
"4dbc35da","yes","no","inaccurate"
"5b7a49ab","yes","yes",""
"5c8407e8","yes","yes",""
"6c782844","yes","no","inaccurate"
"7fe3bbdf","yes","no","too many stones"
"8f4c4745","yes","yes",""
"9d41f324","yes","yes",""
"09f2edb9","yes","no","inaccurate"
"27d920f9","yes","yes",""
"27ef33f7","yes","no","too close, inaccurate letters"
"31bd0784","","","too close"
"41f3c0d3","yes","no","inaccurate letters"
"45e73a0e","yes","no","too close"
"46eafa00","no","no","too many stones"
"51e92ac1","yes","no","not equal spacing between letters"
"55c549ca","yes","no","ugly"
"64e1f7d2","yes","yes",""
"86c11b4d","struggle","no","too close"
"94d29d5b","yes","no","too close"
"102fb3e2","yes","no","ugly"
"325f2feb","yes","yes",""
"440f12c3","yes","no","too many stones"
"696e0e9e","yes","yes",""
"762a1fe2","yes","no","too close"
"848c32ca","yes","no","""V"" is inaccurate"
"933f1250","yes","no","inaccurate"
"998d6b8d","yes","no","too close"
"4670f182","yes","no","inaccurate letters"
"6001b79a","yes","yes",""
"6077b78f","yes","no","too close"
"6289cc4b","yes","no","too close"
"6418d33e","yes","no","inaccurate"
"7984c725","yes","no","inaccurate"
"8520ff6d","yes","yes",""
"91488a5b","yes","no","""V"" inaccurate, ""i""  two different"
"0835783d","yes","no","too many stones"
"4133194b","yes","yes",""
"8615921e","struggle","no","inaccurate"
"35425638","yes","no","inaccurate"
"71476119","yes","yes",""
"abfcc2d7","yes","yes",""
"b5e1c97e","yes","yes",""
"b17daa6f","yes","no","too close"
"b21e2072","yes","no",""
"b3686399","yes","no","too many stones"
"bb3abebc","struggle","no","inaccurate"
"c3b93ee8","yes","no","too close
"
"c4f51684","yes","yes",""
"c258c765","yes","no","too close
"
"ca3ac276","yes","yes",""
"ced692a4","yes","no","too close"
"cf61f73c","yes","no","inaccurate"
"d33ab6e2","yes","no","too many stones"
"d55d24db","yes","no","too close"
"d61da84e","yes","yes",""
"d78c62c5","yes","no","inaccurate"
"d2607684","yes","yes",""
"da7f1fe5","yes","yes",""
"da25a89b","yes","no","inaccurate"
"dc6d8aa7","yes","no","inaccurate"
"dded3612","yes","yes",""
"de327a01","yes","yes",""
"e0aed570","yes","yes",""
"e0f4455f","yes","yes",""
"e028f465","yes","yes",""
"e930afc5","yes","no","too close"
"e2920ba8","yes","no","different spacing between letters"
"f13a8ea5","yes","no","ugly"
"f26ca719","yes","yes",""
"f64a2e12","yes","yes",""
"f71da8ea","yes","no","ugly"
"ff338606","no","no",""
